key time    word
5   1.5     接
6   0.5     ~
5   0.5     受
3   0.5     ~
5   0.5     主
6   0.5     ~

10  1.5     耶
6   0.5     ~
5   2       穌

30  2       就
30  0.5     欲
20  0.5     ~
10  1       信，

20  1       就
20  1       欲
20  1       信
30  0.5     ~
20  0.5     ~

20  4       入，

50  2       信
30  1       入
20  1       ~

10  1.5     主
10  0.5     耶
10  1       穌
20  0.5     ~
30  0.5     ~

30  1       神
20  0.5     就
10  0.5     ~
6   1       賜
6   0.5     給
5   0.25    ~
6   0.25    ~

5   4       我

3   1.5     神
5   0.5     ~
3   0.5     賜
2   0.5     ~
1   0.5     我
2   0.5     ~

3   1       權
5   0.5     ~
6   0.5     ~
5   1.5     柄，
6   0.5     ~

10  1       晟
10  1       作
6   0.5     神
5   0.5     ~
6   1       子

5   4       兒

0   1        
3   1       晟
5   1       作
6   0.5     ~
10  0.5     ~

10  1.5     神
20  0.5     子
30  1       兒
50  1       ，

50  1.5     永
50  0.5     遠
30  0.5     得
20  0.5     ~
10  1       活

20  4       命

50  2       得
30  0.5     活
20  0.5     ~
10  0.5     命
20  0.5     ~

30  1       欲
30  0.5     得
30  0.5     活
30  2       命

5   0.5     我
6   0.5     ~
6   0.5     欲
5   0.5     得
30  1       活
20  0.5     ~
10  0.25    ~
20  0.25    ~

10  4       命
